cities,raw,address,zip
"Stone Mountain, GA ",Waffle House in 30083 at 5070 Memorial Dr,5070 Memorial Dr,30083
"Stone Mountain, GA ",Waffle House in 30083 at 5970 Memorial Dr,5970 Memorial Dr,30083
"Stone Mountain, GA ",Waffle House in 30083-3429 at 5955 Memorial Dr,5955 Memorial Dr,30083
"Stone Mountain, GA ",Waffle House in 30087-3310 at 1945 Rockbridge Rd,1945 Rockbridge Rd,30087
"Suwanee, GA ",Waffle House in 30024-2413 at 345 Sawmill Dr,345 Sawmill Dr,30024
"Suwanee, GA ",Waffle House in 30024-2526 at 2915 Lawrenceville Suwanee Rd,2915 Lawrenceville Suwanee Rd,30024
"Suwanee, GA ",Waffle House in 30024-3017 at 545 Peachtree Industrial Blvd,545 Peachtree Industrial Blvd,30024
"Thomasville, GA ",Waffle House in 31757 at 15228 Us Highway 19 S,15228 Us Highway 19 S,31757
"Thomasville, GA ",Waffle House in 31757 at 10401 Us-84 E,10401 Us-84 E,31757
"Tifton, GA ",Waffle House in 31793 at 1201 Us-82 W,1201 Us-82 W,31793
"Tifton, GA ",Waffle House in 31794 at 1009 2nd St W,1009 2nd St W,31794
"Tifton, GA ",Waffle House in 31794-8028 at 903 7th St W,903 7th St W,31794
"Tucker, GA ",Waffle House in 30084-2123 at 3180 Tucker Norcross Rd,3180 Tucker Norcross Rd,30084
"Tucker, GA ",Waffle House in 30084-5309 at 4274 Lavista Rd,4274 Lavista Rd,30084
"Tucker, GA ",Waffle House in 30084-6617 at 1856 Mountain Industrial Blvd,1856 Mountain Industrial Blvd,30084
"Tucker, GA ",Waffle House in 30084-6915 at 1569 Montreal Cir,1569 Montreal Cir,30084
"Tucker, GA ",Waffle House in 30084-8132 at 2963 Lawrenceville Hwy,2963 Lawrenceville Hwy,30084
"Union City, GA ",Waffle House in 30291-1585 at 3800 Flat Shoals Rd,3800 Flat Shoals Rd,30291
"Union City, GA ",Waffle House in 30291-2079 at 4370 Jonesboro Rd,4370 Jonesboro Rd,30291
"Valdosta, GA ",Waffle House in 31601 at 3487 Madison Hwy,3487 Madison Hwy,31601
"Valdosta, GA ",Waffle House in 31601 at 1302 Saint Augustine Road,1302 Saint Augustine Road,31601
"Valdosta, GA ",Waffle House in 31601 at 1819 W Hill Ave,1819 W Hill Ave,31601
"Valdosta, GA ",Waffle House in 31601 at 1302 N St Augustine Rd,1302 N St Augustine Rd,31601
"Valdosta, GA ",Waffle House in 31602-5905 at 3120 N Patterson St,3120 N Patterson St,31602
"Valdosta, GA ",Waffle House in 31602-6855 at 4600 N Valdosta Rd,4600 N Valdosta Rd,31602
"Villa Rica, GA ",Waffle House in 30180 at 592 Carrollton Villa Rica Hwy,592 Carrollton Villa Rica Hwy,30180
"Villa Rica, GA ",Waffle House in 30180 at 138 Conners Rd,138 Conners Rd,30180
"Villa Rica, GA ",Waffle House in 30180-2318 at 197 Carrollton Villa Rica Hwy,197 Carrollton Villa Rica Hwy,30180
"Warner Robins, GA ",Waffle House in 31088 at 1287 S Houston Lake Rd,1287 S Houston Lake Rd,31088
"Warner Robins, GA ",Waffle House in 31088 at 310 Russell Pkwy,310 Russell Pkwy,31088
"Warner Robins, GA ",Waffle House in 31093-3433 at 1501 Watson Blvd,1501 Watson Blvd,31093
"Woodstock, GA ",Waffle House in 30188-4843 at 158 Towne Lake Pkwy,158 Towne Lake Pkwy,30188
"Woodstock, GA ",Waffle House in 30188-6423 at 9539 Highway 92 Ste 684,9539 Highway 92 Ste 684,30188
"Hinesville, GA",single loc,735 E Oglethorpe Hwy,31313
"Rockmart, GA",single loc,1401 N Piedmont Ave,30153
"Pooler, GA",single loc,1012 Us-80 E,31322
"Clayton, GA",single loc,537 Highway 441 S,30525
"Conley, GA",single loc,4205 Thurman Rd,30288-1104
"Oakwood, GA",single loc,4410 Mundy Mill Rd,30566-2400
"Eastanollee, GA",single loc,451 Walmart Ct,30538
"Braselton, GA",single loc,I-85 And Hwy. 53,30517
"Metter, GA",single loc,1115 S Lewis St,30439
"Palmetto, GA",single loc,9159 Roosevelt Hwy,30268
"Adel, GA",single loc,1001 W 4th St,31620
"Commerce, GA",single loc,30789 Highway 441 S,30529
"Cedartown, GA",single loc,228 N Main St,30125
"Hiram, GA",single loc,74 Hiram Acworth Hwy,30141-2200
"Clarkston, GA",single loc,1362 Brockett Rd,30021-1501
"Austell, GA",single loc,7350 Six Flags Dr,30168-6905
"Blairsville, GA",single loc,10 Highway 515,30512
"Calhoun, GA",single loc,1420 Red Bud Rd NE,30701
"Greensboro, GA",single loc,2250 S Main St,30642
"Statham, GA",single loc,1917 Atlanta Hwy Se,30666
"Darien, GA",single loc,P.o. Box 623,31305
"Jesup, GA",single loc,1099 N 1st St,31545
"Sylvester, GA",single loc,911 E Franklin St,31791
"Thomson, GA",single loc,2101 Washington Rd,30824
"Lula, GA",single loc,4395 Cornelia Hwy,30554
"Tyrone, GA",single loc,115 Saint Stephens Ct.,30290
"Locust Grove, GA",single loc,4833 Bill Gardner Pkwy,30248-2921
"Auburn, GA",single loc,20 Auburn Park Dr,30011
"Rex, GA",single loc,6483 Highway 42,30273-1727
"Eatonton, GA",single loc,1003 Greensboro Rd,31024
"Thomaston, GA",single loc,1063 Hwy 19 N,30286
"St Simons Island, GA",single loc,2210 Demere Rd,31522
"Mableton, GA",single loc,5602 Mableton Pkwy Se,30126-3304
"Temple, GA",single loc,543 Carrollton St,30179
"Adairsville, GA",single loc,7855 Adairsville Hwy,30103
"Dahlonega, GA",single loc,"1343 Long Branch Rd, #67",30533
"Evans, GA",single loc,4291 Washington Rd,30809
"Hogansville, GA",single loc,1615 Bass Cross Rd,30230-2763
"Winder, GA",single loc,19 W May St,30680-8103
"Moultrie, GA",single loc,1900 1st Ave SE,31768
"Ashburn, GA",single loc,745 W Washington Ave,31714
"Blue Ridge, GA",single loc,4223 Appalachian Hwy,30513
"Hapeville, GA",single loc,839 Virginia Ave,30354-1913
"Lake Park, GA",single loc,1245 Lakes Blvd,31636
"Leesburg, GA",single loc,1608 Us-19 S,31763
"Tallapoosa, GA",single loc,1021 Georgia Highway 100 S,30176
"Jefferson, GA",single loc,4915 Highway 129 N,30549
"Centerville, GA",single loc,2816 Watson Blvd,31028
"Americus, GA",single loc,1207 S Martin Luther King Jr Blvd,31719
"Grovetown, GA",single loc,491 Lewiston Rd,30813
"College Park, GA",single loc,1425 Virginia Ave,30337-2205
"Sandersville, GA",single loc,104 E Church St,31082
"Granite City, IL",single loc,3244 W Chain Of Rocks Rd,62040
"Flossmoor, IL",single loc,3345 Vollmer Rd,60422
"Collinsville, IL",single loc,505 N Bluff Rd,62234
"Indianapolis, IN ",Waffle House in 46217 at 4937 Knights Way,4937 Knights Way,46217
"Indianapolis, IN ",Waffle House in 46222-2828 at 2621 W 16th St,2621 W 16th St,46222
"Indianapolis, IN ",Waffle House in 46226 at 7290 Pendelton Pike,7290 Pendelton Pike,46226
"Indianapolis, IN ",Waffle House in 46237 at E Southport Rd,E Southport Rd,46237
"Indianapolis, IN ",Waffle House in 46241-1515 at 3815 W Washington St,3815 W Washington St,46241
"Indianapolis, IN ",Waffle House in 46241-5173 at 2621 S Lynhurst Dr,2621 S Lynhurst Dr,46241
"Indianapolis, IN ",Waffle House in 46278 at 7112 Zionsville Rd,7112 Zionsville Rd,46278
"Greenfield, IN",single loc,N State St,46140
"Martinsville, IN",single loc,2210 Burton Ln,46151-9405
"New Albany, IN",single loc,325 W. Spring St.,47150
"Plainfield, IN",single loc,155 N Dan Jones Rd,46168-1874
"Bloomington, IN",single loc,530 N College Ave,47404-3897
"Jeffersonville, IN",single loc,505 Indiana Ave.,47130
"Kokomo, IN",single loc,807 S Reed Rd,46901-5628
"Corydon, IN",single loc,2420 Landmark Ave Ne,47112
"Anderson, IN",single loc,1931 E 60th St,46013-3045
"Greensburg, IN",single loc,2310 N State Route 3,47240-9713
"Pendleton, IN",single loc,7810 S State Road 13,46064
"Shelbyville, IN",single loc,1784 N Riley Hwy,46176
"Sellersburg, IN",single loc,250 S. Indiana Ave.,47172
"Scottsburg, IN",single loc,1515 W Mcclain Ave,47170
"Olathe, KS ",Waffle House in 66061-3640 at 1455 E Santa Fe St,1455 E Santa Fe St,66061
"Olathe, KS ",Waffle House in 66061-7212 at 14930 S Harrison St,14930 S Harrison St,66061
"Gardner, KS",single loc,1850 E Santa Fe St,66030-1504
"Kansas City, KS",single loc,4500 Kansas Ave,66106-1125
"Overland Park, KS",single loc,10910 W 75th St,66214
"Bonner Springs, KS",single loc,4 S 130th St,66012-9144
"Bowling Green, KY ",Waffle House in 42101 at 1868 Russellville Rd,1868 Russellville Rd,42101
"Bowling Green, KY ",Waffle House in 42104 at 150 Three Springs Rd,150 Three Springs Rd,42104
"Bowling Green, KY ",Waffle House in 42104 at 1979 Mel Browning St,1979 Mel Browning St,42104
"Covington, KY ",Waffle House in 41011-1203 at 617 W 3rd St,617 W 3rd St,41011
"Covington, KY ",Waffle House in 41011-1235 at 311 Philadelphia St,311 Philadelphia St,41011
"Erlanger, KY ",Waffle House in 41018 at 650 Donaldson Hwy,650 Donaldson Hwy,41018
"Erlanger, KY ",Waffle House in 41018-1238 at 638 Donaldson Hwy,638 Donaldson Hwy,41018
"Florence, KY ",Waffle House in 41042-1474 at 8050 Us 42,8050 Us 42,41042
"Florence, KY ",Waffle House in 41042-1515 at 7673 Burlington Pike,7673 Burlington Pike,41042
"Georgetown, KY ",Waffle House in 40324 at 405 Cherry Blossom Way,405 Cherry Blossom Way,40324
"Georgetown, KY ",Waffle House in 40324 at 175 Outlet Center Dr,175 Outlet Center Dr,40324
"Hebron, KY ",Waffle House in 41048 at 2080 Litton Ln,2080 Litton Ln,41048
"Hebron, KY ",Waffle House in 41048-8612 at 2085 Litton Ln,2085 Litton Ln,41048
"Lexington, KY ",Waffle House in 40504 at 859 S Broadway,859 S Broadway,40504
"Lexington, KY ",Waffle House in 40505 at 2340 Buena Vista Rd,2340 Buena Vista Rd,40505
"Lexington, KY ",Waffle House in 40505 at 2203 N Broadway,2203 N Broadway,40505
"Lexington, KY ",Waffle House in 40509 at 5548 Athens Boonesboro Rd,5548 Athens Boonesboro Rd,40509
"Lexington, KY ",Waffle House in 40509 at 1912 Plaudit Pl,1912 Plaudit Pl,40509
"Lexington, KY ",Waffle House in 40509 at 501 Darby Creek Rd,501 Darby Creek Rd,40509
"Lexington, KY ",Waffle House in 40511 at 1943 Stanton Way,1943 Stanton Way,40511
"Lexington, KY ",Waffle House in 40511 at 1012 Georgetown Rd,1012 Georgetown Rd,40511
"Lexington, KY ",Waffle House in 40513 at 3040 Lakecrest Cir,3040 Lakecrest Cir,40513
"Lexington, KY ",Waffle House in 40517 at 153 Patchen Dr,153 Patchen Dr,40517
"Lexington, KY ",Waffle House in 40517 at 3601 Walden Dr,3601 Walden Dr,40517
"Louisville, KY ",Waffle House in 40213 at 2809 Fern Valley Rd,2809 Fern Valley Rd,40213
"Louisville, KY ",Waffle House in 40213 at 4706 Preston Hwy,4706 Preston Hwy,40213
"Louisville, KY ",Waffle House in 40213 at 3347 Fern Valley Rd,3347 Fern Valley Rd,40213
"Louisville, KY ",Waffle House in 40216 at 4150 Cane Run Rd,4150 Cane Run Rd,40216
"Louisville, KY ",Waffle House in 40218 at 4320 Bishop Ln,4320 Bishop Ln,40218
"Louisville, KY ",Waffle House in 40220 at 4029 Taylorsville Rd,4029 Taylorsville Rd,40220
"Louisville, KY ",Waffle House in 40222 at 9800 Blairwood Rd,9800 Blairwood Rd,40222
"Louisville, KY ",Waffle House in 40229-5904 at 12020 Standiford Plaza Dr,12020 Standiford Plaza Dr,40229
"Louisville, KY ",Waffle House in 40241 at 3739 Pamela Rae Dr,3739 Pamela Rae Dr,40241
"Louisville, KY ",Waffle House in 40243 at 12923 Shelbyville Rd,12923 Shelbyville Rd,40243
"Louisville, KY ",Waffle House in 40291 at 7715 Bardstown Rd,7715 Bardstown Rd,40291
"Louisville, KY ",Waffle House in 40299 at 1620 Kentucky Mills Dr,1620 Kentucky Mills Dr,40299
"Louisville, KY ",Waffle House in 40299 at 2301 Hurstbourne Village Dr,2301 Hurstbourne Village Dr,40299
"Owensboro, KY ",Waffle House in 42301 at 3970 Frederica St,3970 Frederica St,42301
"Owensboro, KY ",Waffle House in 42303-2460 at 3200 Bold Forbes Way,3200 Bold Forbes Way,42303
"Paducah, KY ",Waffle House in 42003 at 3522 Clarks River Rd,3522 Clarks River Rd,42003
"Paducah, KY ",Waffle House in 42003 at 2100 Lone Oak Rd,2100 Lone Oak Rd,42003
"Richmond, KY ",Waffle House in 40475 at 104 N Keeneland Dr,104 N Keeneland Dr,40475
"Richmond, KY ",Waffle House in 40475 at 220 Eastern Byp,220 Eastern Byp,40475
"Shelbyville, KY ",Waffle House in 40065 at 70 Howard Dr,70 Howard Dr,40065
"Shelbyville, KY ",Waffle House in 40065 at 1600 Mt Eden Rd,1600 Mt Eden Rd,40065
"Walton, KY ",Waffle House in 41094 at 11213 Frontage Rd,11213 Frontage Rd,41094
"Walton, KY ",Waffle House in 41094 at 185 Mary Grubbs Hwy,185 Mary Grubbs Hwy,41094
"Walton, KY ",Waffle House in 41094-8283 at 229 Mary Grubbs Hwy,229 Mary Grubbs Hwy,41094
"Walton, KY ",Waffle House in 41094-9574 at Frontage Rd,Frontage Rd,41094
"Winchester, KY ",Waffle House in 40391 at 4 Carol Rd,4 Carol Rd,40391
"Winchester, KY ",Waffle House in 40391 at Carol Rd,Carol Rd,40391
"Corbin, KY",single loc,2641 Cumberland Falls Hwy,40701
"Shepherdsville, KY",single loc,2021 E Blue Lick Rd,40165
"Highland Heights, KY",single loc,251 AA Hwy,41076-8552
"Ashland, KY",single loc,12679 US Route 60,41102-9676
"Radcliff, KY",single loc,188 S Dixie Blvd,40160
"Versailles, KY",single loc,516 Lexington Rd,40383
"Benton, KY",single loc,397 Ash St,42025
"Frankfort, KY",single loc,1562 Versailles Rd,40601
"Dry Ridge, KY",single loc,64 Broadway St,41035
"Nicholasville, KY",single loc,1034 S Main St,40356
"Elizabethtown, KY",single loc,2026 N Mulberry St,42701
"Franklin, KY",single loc,3833 Nashville Rd,42134
"Carrollton, KY",single loc,37 Inn Rd,41008-8025
"Hopkinsville, KY",single loc,2923 Fort Campbell Blvd,42240
"Catlettsburg, KY",single loc,10606 Us Route 23,41129
"Calvert City, KY",single loc,468 Kennedy Ave,42029
"Oak Grove, KY",single loc,12880 Fort Campbell Blvd,42262
"La Grange, KY",single loc,1001 New Moody Ln,40031
"Mount Vernon, KY",single loc,1955 Richmond St,40456
"London, KY",single loc,76 Austin Ln,40741
"Baton Rouge, LA ",Waffle House in 70808 at 2363 College Dr,2363 College Dr,70808
"Baton Rouge, LA ",Waffle House in 70809 at 10439 Reiger Rd,10439 Reiger Rd,70809
"Baton Rouge, LA ",Waffle House in 70810 at 18159 Highland Rd,18159 Highland Rd,70810
"Baton Rouge, LA ",Waffle House in 70814 at 7664 Airline Hwy,7664 Airline Hwy,70814
"Baton Rouge, LA ",Waffle House in 70816 at 10389 Airline Hwy,10389 Airline Hwy,70816
"Baton Rouge, LA ",Waffle House in 70816 at 2320 S Sherwood Forest Blvd,2320 S Sherwood Forest Blvd,70816
"Baton Rouge, LA ",Waffle House in 70816 at 1988 Oneal Ln,1988 Oneal Ln,70816
"Bossier City, LA ",Waffle House in 71111 at 7995 E Texas St,7995 E Texas St,71111
"Bossier City, LA ",Waffle House in 71112 at 2123 Old Minden Rd,2123 Old Minden Rd,71112
"Bossier City, LA ",Waffle House in 71112 at 1984 Airline Dr,1984 Airline Dr,71112
"Breaux Bridge, LA ",Waffle House in 70517 at 2998 Grand Point Hwy,2998 Grand Point Hwy,70517
"Breaux Bridge, LA ",Waffle House in 70517 at 502 Degeyter Rd,502 Degeyter Rd,70517
"Hammond, LA ",Waffle House in 70401 at 1010 E Thomas St,1010 E Thomas St,70401
"Hammond, LA ",Waffle House in 70401 at 3123 Highway 190 W,3123 Highway 190 W,70401
"Hammond, LA ",Waffle House in 70403 at 2101 Sw Railroad Ave,2101 Sw Railroad Ave,70403
"Lafayette, LA ",Waffle House in 70501 at 2106 NE Evangeline Thwy,2106 NE Evangeline Thwy,70501
"Lafayette, LA ",Waffle House in 70501 at 1905 Ne Evangeline Trwy,1905 Ne Evangeline Trwy,70501
"Lafayette, LA ",Waffle House in 70507 at 1800 N University Ave,1800 N University Ave,70507
"Mandeville, LA ",Waffle House in 70448 at 418 N Causeway Blvd,418 N Causeway Blvd,70448
"Mandeville, LA ",Waffle House in 70471-7501 at 68071 Highway 59,68071 Highway 59,70471
"Monroe, LA ",Waffle House in 71203 at 8305 Desiard St,8305 Desiard St,71203
"Monroe, LA ",Waffle House in 71203 at 2903 Sterlington Rd,2903 Sterlington Rd,71203
"Port Allen, LA ",Waffle House in 70767 at 3163 La Highway 1 S,3163 La Highway 1 S,70767
"Port Allen, LA ",Waffle House in 70767 at 112 Lobdell Hwy,112 Lobdell Hwy,70767
"Shreveport, LA ",Waffle House in 71107-4035 at 3080 N Market St,3080 N Market St,71107
"Shreveport, LA ",Waffle House in 71109 at 5103 Monkhouse Dr,5103 Monkhouse Dr,71109
"Shreveport, LA ",Waffle House in 71118 at 9217 Mansfield Rd,9217 Mansfield Rd,71118
"Shreveport, LA ",Waffle House in 71129 at 6127 Financial Plz,6127 Financial Plz,71129
"Slidell, LA ",Waffle House in 70458 at 140 Brownswitch Rd,140 Brownswitch Rd,70458
"Slidell, LA ",Waffle House in 70458 at 2006 Old Spanish Trl,2006 Old Spanish Trl,70458
"Slidell, LA ",Waffle House in 70458 at 111 Oak Ct,111 Oak Ct,70458
"Slidell, LA ",Waffle House in 70461 at 1728 Gause Blvd E,1728 Gause Blvd E,70461
"Sulphur, LA ",Waffle House in 70665 at 2621 Ruth St,2621 Ruth St,70665
"Sulphur, LA ",Waffle House in 70665 at 2488 S Cities Service Hwy,2488 S Cities Service Hwy,70665
"West Monroe, LA ",Waffle House in 71291 at 308 Thomas Rd,308 Thomas Rd,71291
"West Monroe, LA ",Waffle House in 71291 at 148 Well Rd,148 Well Rd,71291
"West Monroe, LA ",Waffle House in 71292 at 101 Basic Dr,101 Basic Dr,71292
"Boutte, LA",single loc,14173 Highway 90,70039
"Jennings, LA",single loc,1635 Elton Rd,70546
"New Iberia, LA",single loc,612 Emery Lewis Ave,70560
"Denham Springs, LA",single loc,105 Rushing Rd W,70726
"Walker, LA",single loc,13484 Vera Mcgowan Rd,70785
"Covington, LA",single loc,110 Holiday Blvd,70433
"Morgan City, LA",single loc,6371 Hwy 182,70380-2037
"Lacombe, LA",single loc,1738 Gause Blvd.,70445
"Crowley, LA",single loc,1000 Egan Hwy,70526
"Rayville, LA",single loc,167 Maxwell Dr,71269
"Ruston, LA",single loc,1121 Cooktown Rd,71270
"La Place, LA",single loc,4304 Main St,70068-5921
"Haughton, LA",single loc,475 N Elm St,71037
"Houma, LA",single loc,1736 Martin Luther King Jr Blvd,70360
"Gray, LA",single loc,113 Linda Ann Ave,70359
"New Orleans, LA",single loc,5801 Read Blvd,70127-2612
"Scott, LA",single loc,203 Ambassador Caffery Pkwy,70583
"Sterlington, LA",single loc,10295 Highway 165 N,71280
"Zachary, LA",single loc,5500 Main St,70791
"Ponchatoula, LA",single loc,723 W Pine St,70454
"Amite, LA",single loc,1105 W Oak St,70422
"Lake Charles, LA",single loc,804 N Lake Shore Dr,70601
"Frederick, MD ",Waffle House in 21701-3104 at 1316 E Patrick St,1316 E Patrick St,21701
"Frederick, MD ",Waffle House in 21704 at 8906 Fingerboard Rd,8906 Fingerboard Rd,21704
"Frederick, MD ",Waffle House in 21704-8312 at 5646 Buckeystown Pike,5646 Buckeystown Pike,21704
"Hagerstown, MD ",Waffle House in 21740 at 10422 Sharpsburg Pike,10422 Sharpsburg Pike,21740
"Hagerstown, MD ",Waffle House in 21742 at 13612 Crayton Blvd,13612 Crayton Blvd,21742
"Hagerstown, MD ",Waffle House in 21742 at 13120 Pennsylvania Ave,13120 Pennsylvania Ave,21742
"Edgewood, MD",single loc,1806 Edgewood Rd,21040
"Williamsport, MD",single loc,306 E Potomac St,21795
"North East, MD",single loc,2512 Pulaski Hwy,21901-2610
"Elkton, MD",single loc,261 Belle Hill Rd,21921-5132
"Havre De Grace, MD",single loc,808 Pulaski Hwy,21078
"Belcamp, MD",single loc,1323 Riverside Pkwy,21017
"Bel Air, MD",single loc,1500 Conowingo Rd,21014
"Watervliet, MI",single loc,3801 N M 140,49098
"Columbia, MO ",Waffle House in 65202 at 904 Vandiver Dr,904 Vandiver Dr,65202
"Columbia, MO ",Waffle House in 65203 at 2701 S Providence Rd,2701 S Providence Rd,65203
"Kansas City, MO ",Waffle House in 64117-1143 at 4404 Ne Antioch Rd,4404 Ne Antioch Rd,64117
"Kansas City, MO ",Waffle House in 64117-1579 at 7401 Ne Parvin Rd,7401 Ne Parvin Rd,64117
"Kansas City, MO ",Waffle House in 64120-2127 at 6840 E Front St,6840 E Front St,64120
"Kansas City, MO ",Waffle House in 64153 at 9750 Nw Prairie View Rd,9750 Nw Prairie View Rd,64153
"Kansas City, MO ",Waffle House in 64157-1000 at 9700 Ne Barry Rd,9700 Ne Barry Rd,64157
"Lees Summit, MO ",Waffle House in 64086 at 1699 Ne Douglas St,1699 Ne Douglas St,64086
"Lees Summit, MO ",Waffle House in 64086-4701 at 1700 Ne Douglas St,1700 Ne Douglas St,64086
"Springfield, MO ",Waffle House in 65802 at 436 N West Byp,436 N West Byp,65802
"Springfield, MO ",Waffle House in 65803 at 3135 N Glenstone Ave,3135 N Glenstone Ave,65803
"Springfield, MO ",Waffle House in 65803 at 3326 E Kearney St,3326 E Kearney St,65803
"Springfield, MO ",Waffle House in 65803 at 2800 N Kansas Expy,2800 N Kansas Expy,65803
"Springfield, MO ",Waffle House in 65804 at 3410 E Sunshine St,3410 E Sunshine St,65804
"Springfield, MO ",Waffle House in 65807 at 4128 S National Ave,4128 S National Ave,65807
"St Charles, MO ",Waffle House in 63301 at 301 Little Hills Expy,301 Little Hills Expy,63301
"St Charles, MO ",Waffle House in 63301 at 1200 S 5th St,1200 S 5th St,63301
"St Charles, MO ",Waffle House in 63303 at 1601 Gettysburg Lndg,1601 Gettysburg Lndg,63303
"St Louis, MO ",Waffle House in 63125 at 3154 Telegraph Rd,3154 Telegraph Rd,63125
"St Louis, MO ",Waffle House in 63126-3521 at 5330 S Lindbergh Blvd,5330 S Lindbergh Blvd,63126
"St Louis, MO ",Waffle House in 63126-3521 at 5330 S Lindbergh Blvd,5330 S Lindbergh Blvd,63126
"St Louis, MO ",Waffle House in 63128 at 4319 Butler Hill Rd,4319 Butler Hill Rd,63128
"St Louis, MO ",Waffle House in 63134 at 4525 James S Mcdonnell Blvd,4525 James S Mcdonnell Blvd,63134
"St Louis, MO ",Waffle House in 63134 at 4525 James S Mcdonnell Blvd,4525 James S Mcdonnell Blvd,63134
"O Fallon, MO",single loc,106 W Terra Ln,63366-2542
"St Robert, MO",single loc,321 Highway Z,65584
"Wentzville, MO",single loc,1131 W Pearce Blvd,63385
"Grandview, MO",single loc,1506 Main St,64030-2539
"Florissant, MO",single loc,375 N Us Highway 67,63031
"Blue Springs, MO",single loc,1500 Nw Woods Chapel Rd,64015-2782
"Rolla, MO",single loc,1405 Martin Springs Dr,65401
"Lebanon, MO",single loc,1924 W Elm St,65536
"Arnold, MO",single loc,3960 Vogel Rd,63010
"Bridgeton, MO",single loc,12701 Saint Charles Rock Rd,63044
"Belton, MO",single loc,17201 Us 71,64012-2290
"Webb City, MO",single loc,1208 S Madison St,64870
"Oak Grove, MO",single loc,451 S Broadway St,64075-6111
"Warrenton, MO",single loc,1012 S State Highway 47,63383
"Joplin, MO",single loc,3506 S Range Line Rd,64804
"Platte City, MO",single loc,1305 Platte Falls Rd,64079-7281
"Festus, MO",single loc,1304 Veterans Blvd,63028
"Maryland Heights, MO",single loc,12215 Dorsett Rd,63043
"St Peters, MO",single loc,1201 Woodridge Dr,63376
"Bay St Louis, MS ",Waffle House  at 1002 U.S. 90,1002 U.S. 90,1002
"Bay St Louis, MS ",Waffle House in 39520 at 1003 Highway 90,1003 Highway 90,39520
"Biloxi, MS ",Waffle House in 39530 at 111 Reynoir Street,111 Reynoir Street,39530
"Biloxi, MS ",Waffle House in 39530 at 430 Reynoir St,430 Reynoir St,39530
"Biloxi, MS ",Waffle House in 39531 at 1938 Beach Blvd,1938 Beach Blvd,39531
"Biloxi, MS ",Waffle House in 39531 at 1759 Beach Blvd,1759 Beach Blvd,39531
"Biloxi, MS ",Waffle House in 39532 at 998 Cedar Lake Rd,998 Cedar Lake Rd,39532
"Biloxi, MS ",Waffle House in 39532 at 8007 Tucker Rd,8007 Tucker Rd,39532
"Brandon, MS ",Waffle House in 39042 at 908 W Government St,908 W Government St,39042
"Brandon, MS ",Waffle House in 39042-2434 at 105 Octavia Dr,105 Octavia Dr,39042
"Diberville, MS ",Waffle House in 39540 at 11967 Bobby Eleutrius Blvd,11967 Bobby Eleutrius Blvd,39540
"Diberville, MS ",Waffle House in 39540 at 10081 3rd Ave,10081 3rd Ave,39540
"Gulfport, MS ",Waffle House in 39501 at 4324 W Beach Blvd,4324 W Beach Blvd,39501
"Gulfport, MS ",Waffle House in 39503 at 9293 Highway 49,9293 Highway 49,39503
"Gulfport, MS ",Waffle House in 39503 at 10435 Highway 49,10435 Highway 49,39503
"Gulfport, MS ",Waffle House in 39503 at 9282 Canal Rd,9282 Canal Rd,39503
"Gulfport, MS ",Waffle House in 39503 at 9525 Highway 49,9525 Highway 49,39503
"Gulfport, MS ",Waffle House in 39507 at 612 Beach Dr,612 Beach Dr,39507
"Hattiesburg, MS ",Waffle House in 39401 at 6512 U S Highway 49,6512 U S Highway 49,39401
"Hattiesburg, MS ",Waffle House in 39402 at 4406 Hardy St,4406 Hardy St,39402
"Jackson, MS ",Waffle House in 39202 at 106 Larson St,106 Larson St,39202
"Jackson, MS ",Waffle House in 39204 at 425 E Mcdowell Rd,425 E Mcdowell Rd,39204
"Jackson, MS ",Waffle House in 39206 at 4615 I 55 N,4615 I 55 N,39206
"Jackson, MS ",Waffle House in 39209-9666 at 4800 Highway 18 W,4800 Highway 18 W,39209
"Moss Point, MS ",Waffle House in 39562 at 20660 Mississippi 63,20660 Mississippi 63,39562
"Moss Point, MS ",Waffle House in 39562 at 20660 Highway 63,20660 Highway 63,39562
"Moss Point, MS ",Waffle House in 39563 at 6701 Highway 63,6701 Highway 63,39563
"Moss Point, MS ",Waffle House in 39563 at 7200 Tanner Ln,7200 Tanner Ln,39563
"Ocean Springs, MS ",Waffle House in 39564 at 2992 Bienville Blvd,2992 Bienville Blvd,39564
"Ocean Springs, MS ",Waffle House in 39564 at 7540 Tucker Rd,7540 Tucker Rd,39564
"Pascagoula, MS ",Waffle House in 39567 at 1423 Denny Ave,1423 Denny Ave,39567
"Pascagoula, MS ",Waffle House in 39581 at 4411 Denny Ave,4411 Denny Ave,39581
"Pearl, MS ",Waffle House in 39208 at 309 S Pearson Rd,309 S Pearson Rd,39208
"Pearl, MS ",Waffle House in 39208 at 351 Airport Rd S,351 Airport Rd S,39208
"Richland, MS ",Waffle House in 39218 at 411 U.S. 49,411 U.S. 49,39218
"Richland, MS ",Waffle House in 39218 at 708 Highway 49 S,708 Highway 49 S,39218
"Richland, MS ",Waffle House in 39218 at 411 Highway 49 S,411 Highway 49 S,39218
"Southaven, MS ",Waffle House in 38671 at 406 Church Rd W,406 Church Rd W,38671
"Southaven, MS ",Waffle House in 38671 at 8939 Hamilton Rd,8939 Hamilton Rd,38671
"Starkville, MS ",Waffle House in 39759 at 1105 Mississippi 182,1105 Mississippi 182,39759
